"Gene","Module"
"MLF1","midnightblue"
"TMEM14B","salmon"
"SLCO2B1","darkorange"
"RAB8A","lightcyan"
"NOP56","salmon"
"MSL3","yellowgreen"
"RADIL","cyan"
"RHOBTB1","orange"
"CHAMP1","turquoise"
"LSM10","cyan"
"PIGS","darkgreen"
"CXXC1","yellow"
"SLC46A2","grey"
"ASPHD2","black"
"EMC10","magenta"
"EMILIN3","violet"
"UBE2QL1","steelblue"
"VPS18","orange"
"PRPF19","brown"
"PGF","darkolivegreen"
"PLA2G16","darkgrey"
"SIRT6","darkturquoise"
"ICOSLG","turquoise"
"ABCA13","turquoise"
"ING1","red"
"HIST1H2AE","tan"
"TMEM143","white"
"BNIP2","midnightblue"
"GRB7","darkmagenta"
"ATP2B4","brown"
"PEX13","blue"
"MIDN","lightpink4"
"TRPM8","red"
"SSX2","magenta"
"EFHD2","red"
"AADACL4","magenta"
"TCTA","lightgreen"
"TMEM37","grey60"
"B4GALT7","lightcyan"
"FAM19A3","turquoise"
"CES2","green"
"AMIGO1","orange"
"AL354718.1","tan"
"MEAF6","orange"
"TMEM156","yellow"
"RP11-934B9.3","navajowhite2"
"ZNF660","turquoise"
"TLX2","brown"
"AVPR1B","blue"
"FAF2","salmon"
"VEGFB","yellow"
"SMYD1","grey"
"STARD6","pink"
"POU5F1B","violet"
"PAG1","turquoise"
"MBOAT2","pink"
"RPTN","tan"
"DLK1","turquoise"
"GALK2","greenyellow"
"FGF23","grey"
"CPLX4","darkorange"
"DPY19L3","yellow"
"TENM4","brown"
"FAM169A","orangered4"
"CXXC5","yellow"
"PDE4D","cyan"
"TMEM160","brown"
"KCNRG","blue"
"TAF4B","black"
"NTF3","darkgrey"
"PLEC","green"
"PLSCR1","yellow"
"RABL3","cyan"
"AP001350.1","grey"
"HIST1H2AH","floralwhite"
"PER1","saddlebrown"
"NUFIP1","black"
"PYHIN1","grey"
"TGS1","royalblue"
"CMC2","black"
"LYVE1","darkorange"
"CA7","grey"
"RBPMS2","red"
"GULP1","saddlebrown"
"ZFP37","cyan"
"PSMD9","turquoise"
"FAM111B","turquoise"
"C19orf48","darkturquoise"
"MED18","mediumpurple3"
"LDHD","orange"
"TMEM182","lightcyan"
"MAGI2","royalblue"
"ATG4D","brown"
"RBPMS","grey60"
"SERPINA3","blue"
"NAAA","blue"
"PGAM4","turquoise"
"MTO1","red"
"TUBAL3","midnightblue"
"CYTH1","grey60"
"DUSP15","thistle1"
"TBX21","grey"
"DR1","salmon"
"IQCK","red"
"BRDT","tan"
"SP3","salmon"
"LILRA3","darkorange"
"TRIM10","yellow"
"S100A2","magenta"
"ARL4A","midnightblue"
